a	 a_0
chét	ts\ E_4 t
chê	ts\ e_0
chêm	ts\ e_0 m
chên	ts\ e_0 n
chênh	ts\ e_0 N_+ 
chêu	ts\ e_0 u
chì	ts\ i_1
chìa	ts\ i@_1
chìm	ts\ i_1 m
chìn	ts\ i_1 n
chình	ts\ i_1 N_+ 
chìu	ts\ i_1 u
chí	ts\ i_4
chía	ts\ i@_4
chích	ts\ i_4 k_+ 
chím	ts\ i_4 m
chín	ts\ i_4 n
chính	ts\ i_4 N_+ 
chíp	ts\ i_4 p
chít	ts\ i_4 t
chíu	ts\ i_4 u
chò	ts\ O_1
chòi	ts\ O_1 i
chòm	ts\ O_1 m
chòn	ts\ O_1 n
chòng	ts\ O_1 Nm 
chó	ts\ O_4
chóc	ts\ kp_4 kp 
chói	ts\ O_4 i
chóm	ts\ O_4 m
chón	ts\ O_4 n
chóng	ts\ O_X_4 Nm 
chóp	ts\ O_4 p
chót	ts\ O_4 t
chô	ts\ o_0
chôi	ts\ o_0 i
chôm	ts\ o_0 m
chôn	ts\ o_0 n
chông	ts\ o_0 Nm 
chõ	ts\ O_3
chõi	ts\ O_3 i
chõm	ts\ O_3 m
chõn	ts\ O_3 n
chõng	ts\ O_3 Nm 
chù	ts\ u_1
chùa	ts\ u@_1
chùi	ts\ u_1 i
chùm	ts\ u_1 m
chùn	ts\ u_1 n
chùng	ts\ u_1 Nm 
chú	ts\ u_4
chúa	ts\ u@_4
chúc	ts\ u_4 kp 
chúi	ts\ u_4 i
chúm	ts\ u_4 m
chún	ts\ u_4 n
chúng	ts\ u_4 Nm 
chúp	ts\ u_4 p
chút	ts\ u_4 t
chý	ts\ i_4
chĩ	ts\ i_3
chũ	ts\ u_3
chơ	ts\ 7_0
chư	ts\ M_0
chạ	ts\ a_5
chả	ts\ a_2
chẹ	ts\ E_5
chẻ	ts\ E_2
chẽ	ts\ E_3
chế	ts\ e_4
chề	ts\ e_1
chể	ts\ e_2
chễ	ts\ e_3
chệ	ts\ e_5
chỉ	ts\ i_2
chị	ts\ i_5
chọ	ts\ O_5
chỏ	ts\ O_2
chố	ts\ o_4
chồ	ts\ o_1
chổ	ts\ o_2
chỗ	ts\ o_3
chộ	ts\ o_5
chớ	ts\ 7_4
chờ	ts\ 7_1
chở	ts\ 7_2
chỡ	ts\ 7_3
chợ	ts\ 7_5
chụ	ts\ u_5
chủ	ts\ u_2
chứ	ts\ M_4
chừ	ts\ M_1
chử	ts\ M_2
chữ	ts\ M_3
chự	ts\ M_5
chỳ	ts\ i_1
chỵ	ts\ i_5
chỷ	ts\ i_2
chỹ	ts\ i_3
chĩa	ts\ i@_3
chũa	ts\ u@_3
chưa	ts\ M@_0
chỉa	ts\ i@_2
chịa	ts\ i@_5
chụa	ts\ u@_5
chủa	ts\ u@_2
chứa	ts\ M@_4
chừa	ts\ M@_1
chửa	ts\ M@_2
chữa	ts\ M@_3
chựa	ts\ M@_5
chạc	ts\ a_5 k
chấc	ts\ 7_X_4 k
chậc	ts\ 7_X_5 k
chắc	ts\ a_X_4 k
chặc	ts\ a_X_5 k
chẹc	ts\ E_5 k
chọc	ts\ kp_5 kp 
chốc	ts\ o_4 kp 
chộc	ts\ o_5 kp 
chục	ts\ u_5 kp 
chức	ts\ M_4 k
chực	ts\ M_5 k
chạch	ts\ a_5 k_+ 
chếch	ts\ e_4 k_+ 
chệch	ts\ e_5 k_+ 
chịch	ts\ i_5 k_+ 
chũi	ts\ u_3 i
chơi	ts\ 7_0 i
chưi	ts\ M_0 i
chại	ts\ a_5 i
chải	ts\ a_2 i
chọi	ts\ O_5 i
chỏi	ts\ O_2 i
chối	ts\ o_4 i
chồi	ts\ o_1 i
chổi	ts\ o_2 i
chỗi	ts\ o_3 i
chội	ts\ o_5 i
chới	ts\ 7_4 i
chời	ts\ 7_1 i
chởi	ts\ 7_2 i
chỡi	ts\ 7_3 i
chợi	ts\ 7_5 i
chụi	ts\ u_5 i
chủi	ts\ u_2 i
chứi	ts\ M_4 i
chừi	ts\ M_1 i
chửi	ts\ M_2 i
chữi	ts\ M_3 i
chựi	ts\ M_5 i
chăm	ts\ a_X_0 m
chĩm	ts\ i_3 m
chũm	ts\ u_3 m
chơm	ts\ 7_0 m
chưm	ts\ M_0 m
chạm	ts\ a_5 m
chảm	ts\ a_2 m
chấm	ts\ 7_X_4 m
chầm	ts\ 7_X_1 m
chẩm	ts\ 7_X_2 m
chẫm	ts\ 7_X_3 m
chậm	ts\ 7_X_5 m
chắm	ts\ a_X_4 m
chằm	ts\ a_X_1 m
chẳm	ts\ a_X_2 m
chẵm	ts\ a_X_3 m
chặm	ts\ a_X_5 m
chẹm	ts\ E_5 m
chẻm	ts\ E_2 m
chẽm	ts\ E_3 m
chếm	ts\ e_4 m
chềm	ts\ e_1 m
chểm	ts\ e_2 m
chễm	ts\ e_3 m
chệm	ts\ e_5 m
chỉm	ts\ i_2 m
chịm	ts\ i_5 m
chọm	ts\ O_5 m
chỏm	ts\ O_2 m
chốm	ts\ o_4 m
chồm	ts\ o_1 m
chổm	ts\ o_2 m
chỗm	ts\ o_3 m
chộm	ts\ o_5 m
chớm	ts\ 7_4 m
chờm	ts\ 7_1 m
chởm	ts\ 7_2 m
chỡm	ts\ 7_3 m
chợm	ts\ 7_5 m
chụm	ts\ u_5 m
chủm	ts\ u_2 m
chứm	ts\ M_4 m
chừm	ts\ M_1 m
chửm	ts\ M_2 m
chữm	ts\ M_3 m
chựm	ts\ M_5 m
chăn	ts\ a_X_0 n
chĩn	ts\ i_3 n
chũn	ts\ u_3 n
chơn	ts\ 7_0 n
chưn	ts\ M_0 n
chạn	ts\ a_5 n
chản	ts\ a_2 n
chấn	ts\ 7_X_4 n
chần	ts\ 7_X_1 n
chẩn	ts\ 7_X_2 n
chẫn	ts\ 7_X_3 n
chận	ts\ 7_X_5 n
chắn	ts\ a_X_4 n
chằn	ts\ a_X_1 n
chẳn	ts\ a_X_2 n
chẵn	ts\ a_X_3 n
chặn	ts\ a_X_5 n
chẹn	ts\ E_5 n
chẻn	ts\ E_2 n
chẽn	ts\ E_3 n
chến	ts\ e_4 n
chền	ts\ e_1 n
chển	ts\ e_2 n
chễn	ts\ e_3 n
chện	ts\ e_5 n
chỉn	ts\ i_2 n
chịn	ts\ i_5 n
chọn	ts\ O_5 n
chỏn	ts\ O_2 n
chốn	ts\ o_4 n
chồn	ts\ o_1 n
chổn	ts\ o_2 n
chỗn	ts\ o_3 n
chộn	ts\ o_5 n
chớn	ts\ 7_4 n
chờn	ts\ 7_1 n
chởn	ts\ 7_2 n
chỡn	ts\ 7_3 n
chợn	ts\ 7_5 n
chụn	ts\ u_5 n
chủn	ts\ u_2 n
chứn	ts\ M_4 n
chừn	ts\ M_1 n
chửn	ts\ M_2 n
chữn	ts\ M_3 n
chựn	ts\ M_5 n
chăng	ts\ a_X_0 N
chũng	ts\ u_3 Nm 
chưng	ts\ M_0 N
chạng	ts\ a_5 N
chảng	ts\ a_2 N
chấng	ts\ 7_X_4 N
chầng	ts\ 7_X_1 N
chẩng	ts\ 7_X_2 N
chẫng	ts\ 7_X_3 N
chậng	ts\ 7_X_5 N
chắng	ts\ a_X_4 N
chằng	ts\ a_X_1 N
chẳng	ts\ a_X_2 N
chẵng	ts\ a_X_3 N
chặng	ts\ a_X_5 N
chẹng	ts\ E_5 N
chẻng	ts\ E_2 N
chẽng	ts\ E_3 N
chọng	ts\ O_5 Nm 
chỏng	ts\ O_2 Nm 
chống	ts\ o_4 Nm 
chồng	ts\ o_1 Nm 
chổng	ts\ o_2 Nm 
chỗng	ts\ o_3 Nm 
chộng	ts\ o_5 Nm 
chụng	ts\ u_5 Nm 
chủng	ts\ u_2 Nm 
chứng	ts\ M_4 N
chừng	ts\ M_1 N
chửng	ts\ M_2 N
chững	ts\ M_3 N
chựng	ts\ M_5 N
chĩnh	ts\ i_3 N_+ 
chạnh	ts\ a_5 N_+ 
chảnh	ts\ a_2 N_+ 
chếnh	ts\ e_4 N_+ 
chềnh	ts\ e_1 N_+ 
chểnh	ts\ e_2 N_+ 
chễnh	ts\ e_3 N_+ 
chệnh	ts\ e_5 N_+ 
chỉnh	ts\ i_2 N_+ 
chịnh	ts\ i_5 N_+ 
chạo	ts\ a_5 O
chảo	ts\ a_2 O
chẹo	ts\ E_5 O
chẻo	ts\ E_2 O
chẽo	ts\ E_3 O
chạp	ts\ a_5 p
chấp	ts\ 7_X_4 p
chập	ts\ 7_X_5 p
chắp	ts\ a_X_4 p
chặp	ts\ a_X_5 p
chẹp	ts\ E_5 p
chếp	ts\ e_4 p
chệp	ts\ e_5 p
chịp	ts\ i_5 p
chọp	ts\ O_5 p
chốp	ts\ o_4 p
chộp	ts\ o_5 p
chớp	ts\ 7_4 p
chợp	ts\ 7_5 p
chụp	ts\ u_5 p
chạt	ts\ a_5 t
chất	ts\ 7_X_4 t
chật	ts\ 7_X_5 t
chắt	ts\ a_X_4 t
chặt	ts\ a_X_5 t
chẹt	ts\ E_5 t
chết	ts\ e_4 t
chệt	ts\ e_5 t
chịt	ts\ i_5 t
chọt	ts\ O_5 t
chốt	ts\ o_4 t
chột	ts\ o_5 t
chớt	ts\ 7_4 t
chợt	ts\ 7_5 t
chụt	ts\ u_5 t
chứt	ts\ M_4 t
chựt	ts\ M_5 t
chĩu	ts\ i_3 u
chưu	ts\ M_0 u
chạu	ts\ a_X_5 u 
chảu	ts\ a_X_2 u 
chấu	ts\ 7_X_4 u
chầu	ts\ 7_X_1 u
chẩu	ts\ 7_X_2 u
chẫu	ts\ 7_X_3 u
chậu	ts\ 7_X_5 u
chếu	ts\ e_4 u
chều	ts\ e_1 u
chểu	ts\ e_2 u
chễu	ts\ e_3 u
chệu	ts\ e_5 u
chỉu	ts\ i_2 u
chịu	ts\ i_5 u
chứu	ts\ M_4 u
chừu	ts\ M_1 u
chửu	ts\ M_2 u
chữu	ts\ M_3 u
chựu	ts\ M_5 u
chạy	ts\ a_X_5 i 
chảy	ts\ a_X_2 i 
chấy	ts\ 7_X_4 i
chầy	ts\ 7_X_1 i
chẩy	ts\ 7_X_2 i
chẫy	ts\ 7_X_3 i
chậy	ts\ 7_X_5 i
chước	ts\ M@_4 k
chược	ts\ M@_5 k
chươi	ts\ M@_0 i
chưới	ts\ M@_4 i
chười	ts\ M@_1 i
chưởi	ts\ M@_2 i
chưỡi	ts\ M@_3 i
chượi	ts\ M@_5 i
chươm	ts\ M@_0 m
chướm	ts\ M@_4 m
chườm	ts\ M@_1 m
chưởm	ts\ M@_2 m
chưỡm	ts\ M@_3 m
chượm	ts\ M@_5 m
chươn	ts\ M@_0 n
chướn	ts\ M@_4 n
chườn	ts\ M@_1 n
chưởn	ts\ M@_2 n
chưỡn	ts\ M@_3 n
chượn	ts\ M@_5 n
chương	ts\ M@_0 N
chướng	ts\ M@_4 N
chường	ts\ M@_1 N
chưởng	ts\ M@_2 N
chưỡng	ts\ M@_3 N
chượng	ts\ M@_5 N
chướp	ts\ M@_4 p
chượp	ts\ M@_5 p
chướt	ts\ M@_4 t
chượt	ts\ M@_5 t
chươu	ts\ M@_0 u
chướu	ts\ M@_4 u
chườu	ts\ M@_1 u
chưởu	ts\ M@_2 u
chưỡu	ts\ M@_3 u
chượu	ts\ M@_5 u
co	k O_0
coa	k w a_0
coai	k w a_0 i
coam	k w a_0 m
coan	k w a_0 n
coang	k w a_0 N
coanh	k w a_0 N_+ 
coao	k w a_0 O
coay	k w a_X_0 i 
coe	k w E_0
coem	k w E_0 m
coen	k w E_0 n
coeo	k w E_0 O
coi	k O_0 i
com	k O_0 m
con	k O_0 n
cong	k O_0 Nm 
coong	k O_0 N
coà	k w a_1
coài	k w a_1 i
coàm	k w a_1 m
coàn	k w a_1 n
coàng	k w a_1 N
coành	k w a_1 N_+ 
coào	k w a_1 O
coày	k w a_X_1 i 
coá	k w a_4
coác	k w a_4 k
coách	k w a_4 k_+ 
coái	k w a_4 i
coám	k w a_4 m
coán	k w a_4 n
coáng	k w a_4 N
coánh	k w a_4 N_+ 
coáo	k w a_4 O
coáp	k w a_4 p
coát	k w a_4 t
coáy	k w a_X_4 i 
coã	k w a_3
coãi	k w a_3 i
coãm	k w a_3 m
coãn	k w a_3 n
coãng	k w a_3 N
coãnh	k w a_3 N_+ 
coão	k w a_3 O
coãy	k w a_X_3 i 
coè	k w E_1
coèm	k w E_1 m
coèn	k w E_1 n
coèo	k w E_1 O
coé	k w E_4
coém	k w E_4 m
coén	k w E_4 n
coéo	k w E_4 O
coét	k w E_4 t
coòng	k O O_1 N
coóc	k O O_4 k
coóng	k O O_4 N
coõng	k O O_3 N
coạ	k w a_5
coả	k w a_2
coẹ	k w E_5
coẻ	k w E_2
coẽ	k w E_3
coạc	k w a_5 k
coắc	k w a_X_4 k
coặc	k w a_X_5 k
coọc	k O O_5 k
coạch	k w a_5 k_+ 
coại	k w a_5 i
coải	k w a_2 i
coăm	k w a_X_0 m
coạm	k w a_5 m
coảm	k w a_2 m
coắm	k w a_X_4 m
coằm	k w a_X_1 m
coẳm	k w a_X_2 m
coẵm	k w a_X_3 m
coặm	k w a_X_5 m
coẹm	k w E_5 m
coẻm	k w E_2 m
coẽm	k w E_3 m
coăn	k w a_X_0 n
coạn	k w a_5 n
coản	k w a_2 n
coắn	k w a_X_4 n
coằn	k w a_X_1 n
coẳn	k w a_X_2 n
coẵn	k w a_X_3 n
coặn	k w a_X_5 n
coẹn	k w E_5 n
coẻn	k w E_2 n
coẽn	k w E_3 n
coăng	k w a_X_0 N
coạng	k w a_5 N
coảng	k w a_2 N
coắng	k w a_X_4 N
coằng	k w a_X_1 N
coẳng	k w a_X_2 N
coẵng	k w a_X_3 N
coặng	k w a_X_5 N
coọng	k O O_5 N
coỏng	k O O_2 N
coạnh	k w a_5 N_+ 
coảnh	k w a_2 N_+ 
coạo	k w a_5 O
coảo	k w a_2 O
coẹo	k w E_5 O
coẻo	k w E_2 O
coẽo	k w E_3 O
coạp	k w a_5 p
coạt	k w a_5 t
coắt	k w a_X_4 t
coặt	k w a_X_5 t
coẹt	k w E_5 t
coạy	k w a_X_5 i 
coảy	k w a_X_2 i 
cu	k u_0
cua	k u@_0
cui	k u_0 i
cum	k u_0 m
cun	k u_0 n
cung	k u_0 Nm 
cuy	k w i_0
cuya	k w i@_0
cuyn	k w i_0 n
cuynh	k w i_0 J
cuyu	k w i_0 u
cuyên	k w i@_0 n
cuyến	k w i@_4 n
cuyền	k w i@_1 n
cuyển	k w i@_2 n
cuyễn	k w i@_3 n
cuyện	k w i@_5 n
cuyết	k w i@_4 t
cuyệt	k w i@_5 t
cuân	k u 7_X_0 n
cuâng	k u 7_X_0 N
cuây	k u 7_X_0 i_0
cuê	k w e_0
cuênh	k w e_0 N_+ 
cuôi	k u@_0 i
cuôm	k u@_0 m
cuôn	k u@_0 n
cuông	k u@_0 N
cuý	k w i_4
cuýa	k w i@_4
cuých	k w i_4 k
cuýn	k w i_4 n
cuýnh	k w i_4 J
cuýp	k w i_4 p
cuýt	k w i_4 t
cuýu	k w i_4 u
cuơ	k u_0 7
cuế	k w e_4
cuề	k w e_1
cuể	k w e_2
cuễ	k w e_3
cuệ	k w e_5
cuớ	k u 7_4
cuờ	k u 7_1
cuở	k u 7_2
cuỡ	k u 7_3
cuợ	k u 7_5
cuỳ	k w i_1
cuỵ	k w i_5
cuỷ	k w i_2
cuỹ	k w i_3
cuỳa	k w i@_1
cuỵa	k w i@_5
cuỷa	k w i@_2
cuỹa	k w i@_3
cuốc	k u@_4 k
cuộc	k u@_5 k
cuếch	k w e_4 k_+ 
cuệch	k w e_5 k_+ 
cuỵch	k w i_5 k
cuối	k u@_4 i
cuồi	k u@_1 i
cuổi	k u@_2 i
cuỗi	k u@_3 i
cuội	k u@_5 i
cuốm	k u@_4 m
cuồm	k u@_1 m
cuổm	k u@_2 m
cuỗm	k u@_3 m
cuộm	k u@_5 m
cuấn	k u 7_X_4 n
cuần	k u 7_X_1 n
cuẩn	k u 7_X_2 n
cuẫn	k u 7_X_3 n
cuận	k u 7_X_5 n
cuốn	k u@_4 n
cuồn	k u@_1 n
cuổn	k u@_2 n
cuỗn	k u@_3 n
cuộn	k u@_5 n
cuỳn	k w i_1 n
cuỵn	k w i_5 n
cuỷn	k w i_2 n
cuỹn	k w i_3 n
cuấng	k u 7_X_4 N
cuầng	k u 7_X_1 N
cuẩng	k u 7_X_2 N
cuẫng	k u 7_X_3 N
cuậng	k u 7_X_5 N
cuống	k u@_4 N
cuồng	k u@_1 N
cuổng	k u@_2 N
cuỗng	k u@_3 N
cuộng	k u@_5 N
cuếnh	k w e_4 N_+ 
cuềnh	k w e_1 N_+ 
cuểnh	k w e_2 N_+ 
cuễnh	k w e_3 N_+ 
cuệnh	k w e_5 N_+ 
cuỳnh	k w i_1 J
cuỵnh	k w i_5 J
cuỷnh	k w i_2 J
cuỹnh	k w i_3 J
cuốp	k u@_4 p
cuộp	k u@_5 p
cuỵp	k w i_5 p
cuất	k u 7_X_4 t
cuật	k u 7_X_5 t
cuốt	k u@_4 t
cuột	k u@_5 t
cuỵt	k w i_5 t
cuỳu	k w i_1 u
cuỵu	k w i_5 u
cuỷu	k w i_2 u
cuỹu	k w i_3 u
cuấy	k u 7_X_4 i
cuầy	k u 7_X_1 i
cuẩy	k u 7_X_2 i
cuẫy	k u 7_X_3 i
cuậy	k u 7_X_5 i
cà	k a_1
cài	k a_1 i
càm	k a_1 m
càn	k a_1 n
càng	k a_1 N
cành	k a_1 N_+ 
cào	k a_1 O
càu	k a_X_1 u 
cày	k a_X_1 i 
cá	k a_4
các	k a_4 k
cách	k a_4 k_+ 
cái	k a_4 i
cám	k a_4 m
cán	k a_4 n
cáng	k a_4 N
cánh	k a_4 N_+ 
cáo	k a_4 O
cáp	k a_4 p
cát	k a_4 t
cáu	k a_X_4 u 
cáy	k a_X_4 i 
câm	k 7_X_0 m
cân	k 7_X_0 n
câng	k 7_X_0 N
câu	k 7_X_0 u
cây	k 7_X_0 i
cã	k a_3
cãi	k a_3 i
cãm	k a_3 m
cãn	k a_3 n
cãng	k a_3 N
cãnh	k a_3 N_+ 
cão	k a_3 O
cãu	k a_X_3 u 
cãy	k a_X_3 i 
cò	k O_1
còi	k O_1 i
còm	k O_1 m
còn	k O_1 n
còng	k O_1 Nm 
có	k O_4
cóc	k kp_4 kp 
cói	k O_4 i
cóm	k O_4 m
cón	k O_4 n
cóng	k O_X_4 Nm 
cóp	k O_4 p
cót	k O_4 t
cô	k o_0
côi	k o_0 i
côm	k o_0 m
côn	k o_0 n
công	k o_0 Nm 
cõ	k O_3
cõi	k O_3 i
cõm	k O_3 m
cõn	k O_3 n
cõng	k O_3 Nm 
cù	k u_1
cùa	k u@_1
cùi	k u_1 i
cùm	k u_1 m
cùn	k u_1 n
cùng	k u_1 Nm 
cú	k u_4
cúa	k u@_4
cúc	k u_4 kp 
cúi	k u_4 i
cúm	k u_4 m
cún	k u_4 n
cúng	k u_4 Nm 
cúp	k u_4 p
cút	k u_4 t
cũ	k u_3
cơ	k 7_0
cư	k M_0
cạ	k a_5
cả	k a_2
cọ	k O_5
cỏ	k O_2
cố	k o_4
cồ	k o_1
cổ	k o_2
cỗ	k o_3
cộ	k o_5
cớ	k 7_4
cờ	k 7_1
cở	k 7_2
cỡ	k 7_3
cợ	k 7_5
cụ	k u_5
củ	k u_2
cứ	k M_4
cừ	k M_1
cử	k M_2
cữ	k M_3
cự	k M_5
cũa	k u@_3
cưa	k M@_0
cụa	k u@_5
của	k u@_2
cứa	k M@_4
cừa	k M@_1
cửa	k M@_2
cữa	k M@_3
cựa	k M@_5
cạc	k a_5 k
cấc	k 7_X_4 k
cậc	k 7_X_5 k
cắc	k a_X_4 k
cặc	k a_X_5 k
cọc	k kp_5 kp 
cốc	k o_4 kp 
cộc	k o_5 kp 
cục	k u_5 kp 
cức	k M_4 k
cực	k M_5 k
cạch	k a_5 k_+ 
cũi	k u_3 i
cơi	k 7_0 i
cưi	k M_0 i
cại	k a_5 i
cải	k a_2 i
cọi	k O_5 i
cỏi	k O_2 i
cối	k o_4 i
cồi	k o_1 i
cổi	k o_2 i
cỗi	k o_3 i
cội	k o_5 i
cới	k 7_4 i
cời	k 7_1 i
cởi	k 7_2 i
cỡi	k 7_3 i
cợi	k 7_5 i
cụi	k u_5 i
củi	k u_2 i
cứi	k M_4 i
cừi	k M_1 i
cửi	k M_2 i
cữi	k M_3 i
cựi	k M_5 i
căm	k a_X_0 m
cũm	k u_3 m
cơm	k 7_0 m
cưm	k M_0 m
cạm	k a_5 m
cảm	k a_2 m
cấm	k 7_X_4 m
cầm	k 7_X_1 m
cẩm	k 7_X_2 m
cẫm	k 7_X_3 m
cậm	k 7_X_5 m
cắm	k a_X_4 m
cằm	k a_X_1 m
cẳm	k a_X_2 m
cẵm	k a_X_3 m
cặm	k a_X_5 m
cọm	k O_5 m
cỏm	k O_2 m
cốm	k o_4 m
cồm	k o_1 m
cổm	k o_2 m
cỗm	k o_3 m
cộm	k o_5 m
cớm	k 7_4 m
cờm	k 7_1 m
cởm	k 7_2 m
cỡm	k 7_3 m
cợm	k 7_5 m
cụm	k u_5 m
củm	k u_2 m
cứm	k M_4 m
cừm	k M_1 m
cửm	k M_2 m
cữm	k M_3 m
cựm	k M_5 m
căn	k a_X_0 n
cũn	k u_3 n
cơn	k 7_0 n
cưn	k M_0 n
cạn	k a_5 n
cản	k a_2 n
cấn	k 7_X_4 n
cần	k 7_X_1 n
cẩn	k 7_X_2 n
cẫn	k 7_X_3 n
cận	k 7_X_5 n
cắn	k a_X_4 n
cằn	k a_X_1 n
cẳn	k a_X_2 n
cẵn	k a_X_3 n
cặn	k a_X_5 n
cọn	k O_5 n
cỏn	k O_2 n
cốn	k o_4 n
cồn	k o_1 n
cổn	k o_2 n
cỗn	k o_3 n
cộn	k o_5 n
cớn	k 7_4 n
cờn	k 7_1 n
cởn	k 7_2 n
cỡn	k 7_3 n
cợn	k 7_5 n
cụn	k u_5 n
củn	k u_2 n
cứn	k M_4 n
cừn	k M_1 n
cửn	k M_2 n
cữn	k M_3 n
cựn	k M_5 n
căng	k a_X_0 N
cũng	k u_3 Nm 
cưng	k M_0 N
cạng	k a_5 N
cảng	k a_2 N
cấng	k 7_X_4 N
cầng	k 7_X_1 N
cẩng	k 7_X_2 N
cẫng	k 7_X_3 N
cậng	k 7_X_5 N
cắng	k a_X_4 N
cằng	k a_X_1 N
cẳng	k a_X_2 N
cẵng	k a_X_3 N
cặng	k a_X_5 N
cọng	k O_5 Nm 
cỏng	k O_2 Nm 
cống	k o_4 Nm 
cồng	k o_1 Nm 
cổng	k o_2 Nm 
cỗng	k o_3 Nm 
cộng	k o_5 Nm 
cụng	k u_5 Nm 
củng	k u_2 Nm 
cứng	k M_4 N
cừng	k M_1 N
cửng	k M_2 N
cững	k M_3 N
cựng	k M_5 N
cạnh	k a_5 N_+ 
cảnh	k a_2 N_+ 
cạo	k a_5 O
cảo	k a_2 O
cạp	k a_5 p
cấp	k 7_X_4 p
cập	k 7_X_5 p
cắp	k a_X_4 p
cặp	k a_X_5 p
cọp	k O_5 p
cốp	k o_4 p
cộp	k o_5 p
cớp	k 7_4 p
cợp	k 7_5 p
cụp	k u_5 p
cạt	k a_5 t
cất	k 7_X_4 t
cật	k 7_X_5 t
cắt	k a_X_4 t
cặt	k a_X_5 t
cọt	k O_5 t
cốt	k o_4 t
cột	k o_5 t
cớt	k 7_4 t
cợt	k 7_5 t
cụt	k u_5 t
cứt	k M_4 t
cựt	k M_5 t
cưu	k M_0 u
cạu	k a_X_5 u 
cảu	k a_X_2 u 
cấu	k 7_X_4 u
cầu	k 7_X_1 u
cẩu	k 7_X_2 u
cẫu	k 7_X_3 u
cậu	k 7_X_5 u
cứu	k M_4 u
cừu	k M_1 u
cửu	k M_2 u
cữu	k M_3 u
cựu	k M_5 u
cạy	k a_X_5 i 
cảy	k a_X_2 i 
cấy	k 7_X_4 i
cầy	k 7_X_1 i
cẩy	k 7_X_2 i
cẫy	k 7_X_3 i
cậy	k 7_X_5 i
cước	k M@_4 k
cược	k M@_5 k
cươi	k M@_0 i
cưới	k M@_4 i
cười	k M@_1 i
cưởi	k M@_2 i
cưỡi	k M@_3 i
cượi	k M@_5 i
cươm	k M@_0 m
cướm	k M@_4 m
cườm	k M@_1 m
cưởm	k M@_2 m
cưỡm	k M@_3 m
cượm	k M@_5 m
cươn	k M@_0 n
cướn	k M@_4 n
cườn	k M@_1 n
cưởn	k M@_2 n
cưỡn	k M@_3 n
cượn	k M@_5 n
cương	k M@_0 N
cướng	k M@_4 N
cường	k M@_1 N
cưởng	k M@_2 N
cưỡng	k M@_3 N
cượng	k M@_5 N
cướp	k M@_4 p
cượp	k M@_5 p
cướt	k M@_4 t
cượt	k M@_5 t
cươu	k M@_0 u
cướu	k M@_4 u
cườu	k M@_1 u
cưởu	k M@_2 u
cưỡu	k M@_3 u
cượu	k M@_5 u
da	z a_0
dai	z a_0 i
dam	z a_0 m
dan	z a_0 n
dang	z a_0 N
danh	z a_0 N_+ 
dao	z a_0 O
dau	z a_X_0 u 
day	z a_X_0 i 
de	z E_0
dem	z E_0 m
den	z E_0 n
deng	z E_0 N
deo	z E_0 O
di	z i_0
dia	z i@_0
dim	z i_0 m
din	z i_0 n
dinh	z i_0 N_+ 
diu	z i_0 u
diêm	z i@_0 m
diên	z i@_0 n
diêng	z i@_0 N
diêu	z i@_0 u
diếc	z i@_4 k
diệc	z i@_5 k
diếm	z i@_4 m
diềm	z i@_1 m
diểm	z i@_2 m
diễm	z i@_3 m
diệm	z i@_5 m
diến	z i@_4 n
diền	z i@_1 n
diển	z i@_2 n
diễn	z i@_3 n
diện	z i@_5 n
diếng	z i@_4 N
diềng	z i@_1 N
diểng	z i@_2 N
diễng	z i@_3 N
diệng	z i@_5 N
diếp	z i@_4 p
diệp	z i@_5 p
diết	z i@_4 t
diệt	z i@_5 t
diếu	z i@_4 u
diều	z i@_1 u
diểu	z i@_2 u
diễu	z i@_3 u
diệu	z i@_5 u
do	z O_0
doa	z w a_0
doai	z w a_0 i
doam	z w a_0 m
doan	z w a_0 n
doang	z w a_0 N
doanh	z w a_0 N_+ 
doao	z w a_0 O
doay	z w a_X_0 i 
doe	z w E_0
doem	z w E_0 m
doen	z w E_0 n
doeo	z w E_0 O
doi	z O_0 i
dom	z O_0 m
don	z O_0 n
dong	z O_0 Nm 
doong	z O_0 N
doà	z w a_1
doài	z w a_1 i
doàm	z w a_1 m
doàn	z w a_1 n
doàng	z w a_1 N
doành	z w a_1 N_+ 
doào	z w a_1 O
doày	z w a_X_1 i 
doá	z w a_4
doác	z w a_4 k
doách	z w a_4 k_+ 
doái	z w a_4 i
doám	z w a_4 m
doán	z w a_4 n
doáng	z w a_4 N
doánh	z w a_4 N_+ 
doáo	z w a_4 O
doáp	z w a_4 p
doát	z w a_4 t
doáy	z w a_X_4 i 
doã	z w a_3
doãi	z w a_3 i
doãm	z w a_3 m
doãn	z w a_3 n
doãng	z w a_3 N
doãnh	z w a_3 N_+ 
doão	z w a_3 O
doãy	z w a_X_3 i 
doè	z w E_1
doèm	z w E_1 m
doèn	z w E_1 n
doèo	z w E_1 O
doé	z w E_4
doém	z w E_4 m
doén	z w E_4 n
doéo	z w E_4 O
doét	z w E_4 t
doòng	z O O_1 N
doóc	z O O_4 k
doóng	z O O_4 N
doõng	z O O_3 N
doạ	z w a_5
doả	z w a_2
doẹ	z w E_5
doẻ	z w E_2
doẽ	z w E_3
doạc	z w a_5 k
doắc	z w a_X_4 k
doặc	z w a_X_5 k
doọc	z O O_5 k
doạch	z w a_5 k_+ 
doại	z w a_5 i
doải	z w a_2 i
doăm	z w a_X_0 m
doạm	z w a_5 m
doảm	z w a_2 m
